,time,bid,ask,last,volume,time_msc,flags,volume_real
0,2021-11-16 05:30:00+05:30,95.502,95.962,95.374,4636449412822205465,13925,21,0.0
1,2021-11-17 05:30:00+05:30,95.912,96.242,95.695,4636440616729183257,14555,17,0.0
2,2021-11-18 05:30:00+05:30,95.787,95.815,95.477,4636422813436906308,12648,19,0.0
3,2021-11-19 05:30:00+05:30,95.532,96.218,95.529,4636458771865181094,15362,41,0.0
4,2021-11-21 05:30:00+05:30,95.993,96.12,95.992,4636463416202296820,680,8,0.0
5,2021-11-22 05:30:00+05:30,96.112,96.524,96.008,4636486848994107982,15483,15,0.0
6,2021-11-23 05:30:00+05:30,96.444,96.586,96.28,4636490297062572687,15621,15,0.0
7,2021-11-24 05:30:00+05:30,96.494,96.915,96.408,4636512252110756119,15481,14,0.0
8,2021-11-25 05:30:00+05:30,96.802,96.804,96.625,4636508311461082169,8007,23,0.0
9,2021-11-26 05:30:00+05:30,96.75,96.759,94.89,4636439138985555526,22378,27,0.0
10,2021-11-28 05:30:00+05:30,96.089,96.244,96.04,4636467708695691657,1644,0,0.0
11,2021-11-29 05:30:00+05:30,96.176,96.42,96.109,4636467567958203302,15835,13,0.0
12,2021-11-30 05:30:00+05:30,96.171,96.632,95.518,4636451594253274972,21432,1,0.0
13,2021-12-01 05:30:00+05:30,95.943,96.112,95.643,4636457083015320830,18075,4,0.0
14,2021-12-02 05:30:00+05:30,96.02,96.15,95.797,4636460319977553002,15155,31,0.0
15,2021-12-03 05:30:00+05:30,96.067,96.424,95.916,4636464682839692018,16507,45,0.0
16,2021-12-05 05:30:00+05:30,96.153,96.186,96.005,4636466934639505703,1080,20,0.0
17,2021-12-06 05:30:00+05:30,96.162,96.404,96.096,4636474112251411825,12072,12,0.0
18,2021-12-07 05:30:00+05:30,96.263,96.567,96.144,4636473690038946759,12219,29,0.0
19,2021-12-08 05:30:00+05:30,96.253,96.355,95.822,4636449694297182175,13798,21,0.0
20,2021-12-09 05:30:00+05:30,95.916,96.315,95.915,4636468693858110145,11223,27,0.0
21,2021-12-10 05:30:00+05:30,96.185,96.402,95.949,4636457364490297541,11098,49,0.0
22,2021-12-12 05:30:00+05:30,96.052,96.086,96.018,4636461094033738957,688,7,0.0
23,2021-12-13 05:30:00+05:30,96.079,96.423,96.055,4636479389907225149,10280,22,0.0
24,2021-12-14 05:30:00+05:30,96.338,96.562,96.07,4636493463656060682,10539,23,0.0
25,2021-12-15 05:30:00+05:30,96.537,96.894,96.269,4636480234332155281,14147,8,0.0
26,2021-12-16 05:30:00+05:30,96.348,96.422,95.822,4636452016465740038,14140,2,0.0
27,2021-12-17 05:30:00+05:30,95.949,96.664,95.85,4636501696799129469,11840,48,0.0
28,2021-12-19 05:30:00+05:30,96.625,96.664,96.59,4636498459836897296,692,32,0.0
29,2021-12-20 05:30:00+05:30,96.609,96.652,96.308,4636490156325084332,12153,19,0.0
30,2021-12-21 05:30:00+05:30,96.489,96.614,96.312,4636485019406759363,11191,8,0.0
31,2021-12-22 05:30:00+05:30,96.416,96.577,95.993,4636461516246204023,10874,3,0.0
32,2021-12-23 05:30:00+05:30,96.085,96.253,95.963,4636461234771227312,9543,5,0.0
33,2021-12-24 05:30:00+05:30,96.077,96.083,95.868,4636452016465740038,8314,52,0.0
34,2021-12-26 05:30:00+05:30,96.116,96.159,96.031,4636460601452529713,802,7,0.0
35,2021-12-27 05:30:00+05:30,96.071,96.232,96.02,4636457645965274251,6929,22,0.0
36,2021-12-28 05:30:00+05:30,96.026,96.254,95.969,4636463064358575931,7635,0,0.0
37,2021-12-29 05:30:00+05:30,96.106,96.367,95.737,4636441601891601744,9146,16,0.0
38,2021-12-30 05:30:00+05:30,95.799,96.199,95.799,4636454127528065368,9162,23,0.0
39,2021-12-31 05:30:00+05:30,95.98,96.081,95.544,4636425628186673414,8035,51,0.0
40,2022-01-02 05:30:00+05:30,95.633,95.67,95.565,4636431328054951805,664,0,0.0
41,2022-01-03 05:30:00+05:30,95.654,96.301,95.629,4636467638326947480,11012,9,0.0
42,2022-01-04 05:30:00+05:30,96.169,96.435,96.0,4636474886307597779,12384,21,0.0
43,2022-01-05 05:30:00+05:30,96.272,96.308,95.858,4636466793902017348,12354,22,0.0
44,2022-01-06 05:30:00+05:30,96.158,96.366,96.002,4636472282664063205,13768,30,0.0
45,2022-01-07 05:30:00+05:30,96.236,96.272,95.684,4636435268704625754,11088,49,0.0
46,2022-01-09 05:30:00+05:30,95.756,95.796,95.701,4636439138985555526,1516,16,0.0
47,2022-01-10 05:30:00+05:30,95.766,96.208,95.73,4636449623928437998,24424,3,0.0
48,2022-01-11 05:30:00+05:30,95.915,96.049,95.546,4636427387405277856,24257,30,0.0
49,2022-01-12 05:30:00+05:30,95.598,95.666,94.879,4636383969890120237,23946,37,0.0
50,2022-01-13 05:30:00+05:30,94.981,94.996,94.627,4636372288678586745,24611,31,0.0
51,2022-01-14 05:30:00+05:30,94.813,95.242,94.601,4636394665939235242,25835,40,0.0
52,2022-01-16 05:30:00+05:30,95.121,95.198,95.071,4636396354789095506,1475,36,0.0
53,2022-01-17 05:30:00+05:30,95.166,95.324,94.993,4636399239907606790,18754,15,0.0
54,2022-01-18 05:30:00+05:30,95.197,95.805,95.101,4636433439117277135,29717,21,0.0
55,2022-01-19 05:30:00+05:30,95.682,95.767,95.465,4636425346711696703,27099,14,0.0
56,2022-01-20 05:30:00+05:30,95.575,95.837,95.392,4636437309398206906,26919,25,0.0
57,2022-01-21 05:30:00+05:30,95.738,95.815,95.465,4636428161461463810,27024,48,0.0
58,2022-01-23 05:30:00+05:30,95.613,95.648,95.585,4636429428098859008,1769,29,0.0
59,2022-01-24 05:30:00+05:30,95.626,96.108,95.626,4636446738809926713,29099,19,0.0
60,2022-01-25 05:30:00+05:30,95.872,96.248,95.868,4636451594253274972,27880,0,0.0
61,2022-01-26 05:30:00+05:30,95.94,96.515,95.885,4636487834156526469,27798,31,0.0
62,2022-01-27 05:30:00+05:30,96.458,97.273,96.452,4636540329239683006,31977,14,0.0
63,2022-01-28 05:30:00+05:30,97.203,97.417,97.029,4636539414446008697,29068,49,0.0
